No webpage,Total segment,Total error , Total word, No character,Duration,Method Name
1000,374304,16814,391118,1595376,128610,forward_segment
1000,391534,13510,405044,1691088,38099,backward_segment
1000,371986,12106,384092,1592308,122176,bidirectional_segment
1000,133627,20257,153884,1262467,778279901,khmer_line_breaker
2000,751462,33250,784712,3220169,198017,forward_segment
2000,771685,26474,798159,3341710,88258,backward_segment
2000,747971,23748,771719,3220169,236499,bidirectional_segment
2000,230298,38477,268775,2516946,1769562261,khmer_line_breaker
3000,1130278,49111,1179389,4840476,264702,forward_segment
3000,1156900,39203,1196103,5009253,132701,backward_segment
3000,1124783,34794,1159577,4839147,379114,bidirectional_segment
3000,352927,61404,414331,3857507,2771427252,khmer_line_breaker
4000,1505625,65328,1570953,6470508,333579,forward_segment
4000,1540287,51838,1592125,6663336,166220,backward_segment
4000,1498896,46196,1545092,6471367,499719,bidirectional_segment
4000,447242,79728,526970,5697703,3665091627,khmer_line_breaker
5000,1905798,83224,1989022,8208154,408608,forward_segment
5000,1932605,65838,1998443,8349751,206823,backward_segment
5000,1896724,58555,1955279,8208440,630956,bidirectional_segment
5000,524323,95109,619432,7448737,4536421439,khmer_line_breaker
6000,2298400,101020,2399420,9893971,511580,forward_segment
6000,2331992,79615,2411607,10087683,253603,backward_segment
6000,2287565,71075,2358640,9894907,784821,bidirectional_segment
6000,617058,112344,729402,9271673,5531155817,khmer_line_breaker
7000,2682816,117078,2799894,11549334,612769,forward_segment
7000,2706984,92511,2799495,11718008,299619,backward_segment
7000,2669932,82188,2752120,11549334,981008,bidirectional_segment
7000,726860,134307,861167,11058163,6486406865,khmer_line_breaker
8000,3069758,133424,3203182,13221166,704920,forward_segment
8000,3085245,105032,3190277,13338338,348300,backward_segment
8000,3053891,93437,3147328,13216481,1147333,bidirectional_segment
8000,866163,162819,1028982,12861826,7601220305,khmer_line_breaker
9000,3447798,149447,3597245,14860661,783278,forward_segment
9000,3461930,118055,3579985,14964018,386912,backward_segment
9000,3431514,104847,3536361,14861252,1265429,bidirectional_segment
9000,1024964,195815,1220779,14658104,8784380505,khmer_line_breaker
10000,3841319,166554,4007873,16558191,881788,forward_segment
10000,3835537,131480,3967017,16558191,437111,backward_segment
10000,3823054,116988,3940042,16558191,1380816,bidirectional_segment
10000,1119182,214646,1333828,16558191,9663781606,khmer_line_breaker
